// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 24 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Coding\Benchmarks\ObjectMapperBenchmark\src\ObjectMapperBenchMark\bin\Debug\netcoreapp2.2\068092ff-4344-4509-9990-50206e6cc891
// command took 2.33s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Coding\Benchmarks\ObjectMapperBenchmark\src\ObjectMapperBenchMark\bin\Debug\netcoreapp2.2\068092ff-4344-4509-9990-50206e6cc891
// command took 3.79s and exited with 0
// ***** Done, took 00:00:06 (6.38 sec)   *****
// Found 6 benchmarks:
//   FastMemberObjectMapperBenchMark.As: Job-SJTQXC(InvocationCount=1, UnrollFactor=1) [Rows=10]
//   FastMemberObjectMapperBenchMark.AsArray: Job-SJTQXC(InvocationCount=1, UnrollFactor=1) [Rows=10]
//   FastMemberObjectMapperBenchMark.As: Job-SJTQXC(InvocationCount=1, UnrollFactor=1) [Rows=100]
//   FastMemberObjectMapperBenchMark.AsArray: Job-SJTQXC(InvocationCount=1, UnrollFactor=1) [Rows=100]
//   FastMemberObjectMapperBenchMark.As: Job-SJTQXC(InvocationCount=1, UnrollFactor=1) [Rows=10000]
//   FastMemberObjectMapperBenchMark.AsArray: Job-SJTQXC(InvocationCount=1, UnrollFactor=1) [Rows=10000]

// **************************
// Benchmark: FastMemberObjectMapperBenchMark.As: Job-SJTQXC(InvocationCount=1, UnrollFactor=1) [Rows=10]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "068092ff-4344-4509-9990-50206e6cc891.dll" --benchmarkName "ObjectMapperBenchMark.Mappers.FastMemberObjectMapperBenchMark.As(Rows: 10)" --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 0 in D:\Coding\Benchmarks\ObjectMapperBenchmark\src\ObjectMapperBenchMark\bin\Debug\netcoreapp2.2\068092ff-4344-4509-9990-50206e6cc891\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.8 (CoreCLR 4.6.28207.03, CoreFX 4.6.28208.02), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-UTNKKR(InvocationCount=1, UnrollFactor=1)

// BeforeActualRun
WorkloadActual   1: 1 op, 844500.00 ns, 844.5000 us/op
WorkloadActual   2: 1 op, 831100.00 ns, 831.1000 us/op
WorkloadActual   3: 1 op, 874500.00 ns, 874.5000 us/op
WorkloadActual   4: 1 op, 801900.00 ns, 801.9000 us/op
WorkloadActual   5: 1 op, 798500.00 ns, 798.5000 us/op
WorkloadActual   6: 1 op, 817800.00 ns, 817.8000 us/op
WorkloadActual   7: 1 op, 876800.00 ns, 876.8000 us/op
WorkloadActual   8: 1 op, 831900.00 ns, 831.9000 us/op
WorkloadActual   9: 1 op, 850000.00 ns, 850.0000 us/op
WorkloadActual  10: 1 op, 823800.00 ns, 823.8000 us/op
WorkloadActual  11: 1 op, 901600.00 ns, 901.6000 us/op
WorkloadActual  12: 1 op, 799600.00 ns, 799.6000 us/op
WorkloadActual  13: 1 op, 800200.00 ns, 800.2000 us/op
WorkloadActual  14: 1 op, 835800.00 ns, 835.8000 us/op
WorkloadActual  15: 1 op, 841600.00 ns, 841.6000 us/op
WorkloadActual  16: 1 op, 806500.00 ns, 806.5000 us/op
WorkloadActual  17: 1 op, 815400.00 ns, 815.4000 us/op
WorkloadActual  18: 1 op, 824900.00 ns, 824.9000 us/op
WorkloadActual  19: 1 op, 853600.00 ns, 853.6000 us/op
WorkloadActual  20: 1 op, 814900.00 ns, 814.9000 us/op
WorkloadActual  21: 1 op, 823200.00 ns, 823.2000 us/op
WorkloadActual  22: 1 op, 884800.00 ns, 884.8000 us/op
WorkloadActual  23: 1 op, 826500.00 ns, 826.5000 us/op
WorkloadActual  24: 1 op, 796300.00 ns, 796.3000 us/op
WorkloadActual  25: 1 op, 817700.00 ns, 817.7000 us/op
WorkloadActual  26: 1 op, 815300.00 ns, 815.3000 us/op
WorkloadActual  27: 1 op, 797900.00 ns, 797.9000 us/op
WorkloadActual  28: 1 op, 1141700.00 ns, 1.1417 ms/op
WorkloadActual  29: 1 op, 902900.00 ns, 902.9000 us/op
WorkloadActual  30: 1 op, 821700.00 ns, 821.7000 us/op
WorkloadActual  31: 1 op, 803800.00 ns, 803.8000 us/op
WorkloadActual  32: 1 op, 831900.00 ns, 831.9000 us/op
WorkloadActual  33: 1 op, 852300.00 ns, 852.3000 us/op
WorkloadActual  34: 1 op, 803300.00 ns, 803.3000 us/op
WorkloadActual  35: 1 op, 860500.00 ns, 860.5000 us/op
WorkloadActual  36: 1 op, 839300.00 ns, 839.3000 us/op
WorkloadActual  37: 1 op, 818600.00 ns, 818.6000 us/op
WorkloadActual  38: 1 op, 804700.00 ns, 804.7000 us/op
WorkloadActual  39: 1 op, 815300.00 ns, 815.3000 us/op

// AfterActualRun
WorkloadResult   1: 1 op, 844300.00 ns, 844.3000 us/op
WorkloadResult   2: 1 op, 830900.00 ns, 830.9000 us/op
WorkloadResult   3: 1 op, 874300.00 ns, 874.3000 us/op
WorkloadResult   4: 1 op, 801700.00 ns, 801.7000 us/op
WorkloadResult   5: 1 op, 798300.00 ns, 798.3000 us/op
WorkloadResult   6: 1 op, 817600.00 ns, 817.6000 us/op
WorkloadResult   7: 1 op, 876600.00 ns, 876.6000 us/op
WorkloadResult   8: 1 op, 831700.00 ns, 831.7000 us/op
WorkloadResult   9: 1 op, 849800.00 ns, 849.8000 us/op
WorkloadResult  10: 1 op, 823600.00 ns, 823.6000 us/op
WorkloadResult  11: 1 op, 901400.00 ns, 901.4000 us/op
WorkloadResult  12: 1 op, 799400.00 ns, 799.4000 us/op
WorkloadResult  13: 1 op, 800000.00 ns, 800.0000 us/op
WorkloadResult  14: 1 op, 835600.00 ns, 835.6000 us/op
WorkloadResult  15: 1 op, 841400.00 ns, 841.4000 us/op
WorkloadResult  16: 1 op, 806300.00 ns, 806.3000 us/op
WorkloadResult  17: 1 op, 815200.00 ns, 815.2000 us/op
WorkloadResult  18: 1 op, 824700.00 ns, 824.7000 us/op
WorkloadResult  19: 1 op, 853400.00 ns, 853.4000 us/op
WorkloadResult  20: 1 op, 814700.00 ns, 814.7000 us/op
WorkloadResult  21: 1 op, 823000.00 ns, 823.0000 us/op
WorkloadResult  22: 1 op, 884600.00 ns, 884.6000 us/op
WorkloadResult  23: 1 op, 826300.00 ns, 826.3000 us/op
WorkloadResult  24: 1 op, 796100.00 ns, 796.1000 us/op
WorkloadResult  25: 1 op, 817500.00 ns, 817.5000 us/op
WorkloadResult  26: 1 op, 815100.00 ns, 815.1000 us/op
WorkloadResult  27: 1 op, 797700.00 ns, 797.7000 us/op
WorkloadResult  28: 1 op, 821500.00 ns, 821.5000 us/op
WorkloadResult  29: 1 op, 803600.00 ns, 803.6000 us/op
WorkloadResult  30: 1 op, 831700.00 ns, 831.7000 us/op
WorkloadResult  31: 1 op, 852100.00 ns, 852.1000 us/op
WorkloadResult  32: 1 op, 803100.00 ns, 803.1000 us/op
WorkloadResult  33: 1 op, 860300.00 ns, 860.3000 us/op
WorkloadResult  34: 1 op, 839100.00 ns, 839.1000 us/op
WorkloadResult  35: 1 op, 818400.00 ns, 818.4000 us/op
WorkloadResult  36: 1 op, 804500.00 ns, 804.5000 us/op
WorkloadResult  37: 1 op, 815100.00 ns, 815.1000 us/op

// AfterAll
// Benchmark Process 14200 has exited with code 0

Mean = 828.395 μs, StdErr = 4.326 μs (0.52%), N = 37, StdDev = 26.316 μs
Min = 796.100 μs, Q1 = 806.300 μs, Median = 823.000 μs, Q3 = 841.400 μs, Max = 901.400 μs
IQR = 35.100 μs, LowerFence = 753.650 μs, UpperFence = 894.050 μs
ConfidenceInterval = [812.897 μs; 843.892 μs] (CI 99.9%), Margin = 15.498 μs (1.87% of Mean)
Skewness = 0.93, Kurtosis = 3.18, MValue = 2

// **************************
// Benchmark: FastMemberObjectMapperBenchMark.AsArray: Job-SJTQXC(InvocationCount=1, UnrollFactor=1) [Rows=10]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "068092ff-4344-4509-9990-50206e6cc891.dll" --benchmarkName "ObjectMapperBenchMark.Mappers.FastMemberObjectMapperBenchMark.AsArray(Rows: 10)" --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 1 in D:\Coding\Benchmarks\ObjectMapperBenchmark\src\ObjectMapperBenchMark\bin\Debug\netcoreapp2.2\068092ff-4344-4509-9990-50206e6cc891\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.8 (CoreCLR 4.6.28207.03, CoreFX 4.6.28208.02), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-OTYZIH(InvocationCount=1, UnrollFactor=1)

OverheadJitting  1: 1 op, 344000.00 ns, 344.0000 us/op
WorkloadJitting  1: 1 op, 173248200.00 ns, 173.2482 ms/op

OverheadWarmup   1: 1 op, 3000.00 ns, 3.0000 us/op
OverheadWarmup   2: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   3: 1 op, 100.00 ns, 100.0000 ns/op
OverheadWarmup   4: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   5: 1 op, 300.00 ns, 300.0000 ns/op
OverheadWarmup   6: 1 op, 100.00 ns, 100.0000 ns/op
OverheadWarmup   7: 1 op, 100.00 ns, 100.0000 ns/op
OverheadWarmup   8: 1 op, 200.00 ns, 200.0000 ns/op

OverheadActual   1: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   2: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual   3: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual   4: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual   5: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   6: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   7: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   8: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   9: 1 op, 500.00 ns, 500.0000 ns/op
OverheadActual  10: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  11: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  12: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  13: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  14: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  15: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  16: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  17: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  18: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual  19: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual  20: 1 op, 200.00 ns, 200.0000 ns/op

WorkloadWarmup   1: 1 op, 7771300.00 ns, 7.7713 ms/op
WorkloadWarmup   2: 1 op, 7836600.00 ns, 7.8366 ms/op
WorkloadWarmup   3: 1 op, 8116800.00 ns, 8.1168 ms/op
WorkloadWarmup   4: 1 op, 8069600.00 ns, 8.0696 ms/op
WorkloadWarmup   5: 1 op, 7640300.00 ns, 7.6403 ms/op
WorkloadWarmup   6: 1 op, 8060300.00 ns, 8.0603 ms/op
WorkloadWarmup   7: 1 op, 8220400.00 ns, 8.2204 ms/op
WorkloadWarmup   8: 1 op, 7687900.00 ns, 7.6879 ms/op

// BeforeActualRun
WorkloadActual   1: 1 op, 7800500.00 ns, 7.8005 ms/op
WorkloadActual   2: 1 op, 8083600.00 ns, 8.0836 ms/op
WorkloadActual   3: 1 op, 8216200.00 ns, 8.2162 ms/op
WorkloadActual   4: 1 op, 7734800.00 ns, 7.7348 ms/op
WorkloadActual   5: 1 op, 8199900.00 ns, 8.1999 ms/op
WorkloadActual   6: 1 op, 7951200.00 ns, 7.9512 ms/op
WorkloadActual   7: 1 op, 7901300.00 ns, 7.9013 ms/op
WorkloadActual   8: 1 op, 7938800.00 ns, 7.9388 ms/op
WorkloadActual   9: 1 op, 8333900.00 ns, 8.3339 ms/op
WorkloadActual  10: 1 op, 7999700.00 ns, 7.9997 ms/op
WorkloadActual  11: 1 op, 7982900.00 ns, 7.9829 ms/op
WorkloadActual  12: 1 op, 8283100.00 ns, 8.2831 ms/op
WorkloadActual  13: 1 op, 7816900.00 ns, 7.8169 ms/op
WorkloadActual  14: 1 op, 8060800.00 ns, 8.0608 ms/op
WorkloadActual  15: 1 op, 7883000.00 ns, 7.8830 ms/op
WorkloadActual  16: 1 op, 8019500.00 ns, 8.0195 ms/op
WorkloadActual  17: 1 op, 7779600.00 ns, 7.7796 ms/op
WorkloadActual  18: 1 op, 8036600.00 ns, 8.0366 ms/op
WorkloadActual  19: 1 op, 7837500.00 ns, 7.8375 ms/op

// AfterActualRun
WorkloadResult   1: 1 op, 7800300.00 ns, 7.8003 ms/op
WorkloadResult   2: 1 op, 8083400.00 ns, 8.0834 ms/op
WorkloadResult   3: 1 op, 8216000.00 ns, 8.2160 ms/op
WorkloadResult   4: 1 op, 7734600.00 ns, 7.7346 ms/op
WorkloadResult   5: 1 op, 8199700.00 ns, 8.1997 ms/op
WorkloadResult   6: 1 op, 7951000.00 ns, 7.9510 ms/op
WorkloadResult   7: 1 op, 7901100.00 ns, 7.9011 ms/op
WorkloadResult   8: 1 op, 7938600.00 ns, 7.9386 ms/op
WorkloadResult   9: 1 op, 8333700.00 ns, 8.3337 ms/op
WorkloadResult  10: 1 op, 7999500.00 ns, 7.9995 ms/op
WorkloadResult  11: 1 op, 7982700.00 ns, 7.9827 ms/op
WorkloadResult  12: 1 op, 8282900.00 ns, 8.2829 ms/op
WorkloadResult  13: 1 op, 7816700.00 ns, 7.8167 ms/op
WorkloadResult  14: 1 op, 8060600.00 ns, 8.0606 ms/op
WorkloadResult  15: 1 op, 7882800.00 ns, 7.8828 ms/op
WorkloadResult  16: 1 op, 8019300.00 ns, 8.0193 ms/op
WorkloadResult  17: 1 op, 7779400.00 ns, 7.7794 ms/op
WorkloadResult  18: 1 op, 8036400.00 ns, 8.0364 ms/op
WorkloadResult  19: 1 op, 7837300.00 ns, 7.8373 ms/op

// AfterAll
// Benchmark Process 2620 has exited with code 0

Mean = 7.992 ms, StdErr = 0.040 ms (0.50%), N = 19, StdDev = 0.173 ms
Min = 7.735 ms, Q1 = 7.860 ms, Median = 7.983 ms, Q3 = 8.072 ms, Max = 8.334 ms
IQR = 0.212 ms, LowerFence = 7.542 ms, UpperFence = 8.390 ms
ConfidenceInterval = [7.837 ms; 8.148 ms] (CI 99.9%), Margin = 0.156 ms (1.95% of Mean)
Skewness = 0.41, Kurtosis = 2.04, MValue = 2

// **************************
// Benchmark: FastMemberObjectMapperBenchMark.As: Job-SJTQXC(InvocationCount=1, UnrollFactor=1) [Rows=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "068092ff-4344-4509-9990-50206e6cc891.dll" --benchmarkName "ObjectMapperBenchMark.Mappers.FastMemberObjectMapperBenchMark.As(Rows: 100)" --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 2 in D:\Coding\Benchmarks\ObjectMapperBenchmark\src\ObjectMapperBenchMark\bin\Debug\netcoreapp2.2\068092ff-4344-4509-9990-50206e6cc891\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.8 (CoreCLR 4.6.28207.03, CoreFX 4.6.28208.02), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-GFZTPC(InvocationCount=1, UnrollFactor=1)

OverheadJitting  1: 1 op, 458800.00 ns, 458.8000 us/op
WorkloadJitting  1: 1 op, 162532300.00 ns, 162.5323 ms/op

OverheadWarmup   1: 1 op, 3300.00 ns, 3.3000 us/op
OverheadWarmup   2: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   3: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   4: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   5: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   6: 1 op, 200.00 ns, 200.0000 ns/op

OverheadActual   1: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual   2: 1 op, 700.00 ns, 700.0000 ns/op
OverheadActual   3: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual   4: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual   5: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   6: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   7: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual   8: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual   9: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  10: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  11: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  12: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual  13: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  14: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  15: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  16: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  17: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  18: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  19: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  20: 1 op, 800.00 ns, 800.0000 ns/op

WorkloadWarmup   1: 1 op, 873800.00 ns, 873.8000 us/op
WorkloadWarmup   2: 1 op, 797500.00 ns, 797.5000 us/op
WorkloadWarmup   3: 1 op, 792700.00 ns, 792.7000 us/op
WorkloadWarmup   4: 1 op, 805500.00 ns, 805.5000 us/op
WorkloadWarmup   5: 1 op, 804600.00 ns, 804.6000 us/op
WorkloadWarmup   6: 1 op, 814900.00 ns, 814.9000 us/op
WorkloadWarmup   7: 1 op, 793500.00 ns, 793.5000 us/op

// BeforeActualRun
WorkloadActual   1: 1 op, 881200.00 ns, 881.2000 us/op
WorkloadActual   2: 1 op, 793400.00 ns, 793.4000 us/op
WorkloadActual   3: 1 op, 797200.00 ns, 797.2000 us/op
WorkloadActual   4: 1 op, 807800.00 ns, 807.8000 us/op
WorkloadActual   5: 1 op, 838000.00 ns, 838.0000 us/op
WorkloadActual   6: 1 op, 840800.00 ns, 840.8000 us/op
WorkloadActual   7: 1 op, 898700.00 ns, 898.7000 us/op
WorkloadActual   8: 1 op, 817400.00 ns, 817.4000 us/op
WorkloadActual   9: 1 op, 844800.00 ns, 844.8000 us/op
WorkloadActual  10: 1 op, 792800.00 ns, 792.8000 us/op
WorkloadActual  11: 1 op, 787400.00 ns, 787.4000 us/op
WorkloadActual  12: 1 op, 855800.00 ns, 855.8000 us/op
WorkloadActual  13: 1 op, 838500.00 ns, 838.5000 us/op
WorkloadActual  14: 1 op, 863200.00 ns, 863.2000 us/op
WorkloadActual  15: 1 op, 799100.00 ns, 799.1000 us/op
WorkloadActual  16: 1 op, 826500.00 ns, 826.5000 us/op
WorkloadActual  17: 1 op, 795500.00 ns, 795.5000 us/op
WorkloadActual  18: 1 op, 791400.00 ns, 791.4000 us/op
WorkloadActual  19: 1 op, 806800.00 ns, 806.8000 us/op
WorkloadActual  20: 1 op, 901700.00 ns, 901.7000 us/op
WorkloadActual  21: 1 op, 805100.00 ns, 805.1000 us/op
WorkloadActual  22: 1 op, 797700.00 ns, 797.7000 us/op
WorkloadActual  23: 1 op, 822900.00 ns, 822.9000 us/op
WorkloadActual  24: 1 op, 792500.00 ns, 792.5000 us/op
WorkloadActual  25: 1 op, 806500.00 ns, 806.5000 us/op
WorkloadActual  26: 1 op, 992700.00 ns, 992.7000 us/op
WorkloadActual  27: 1 op, 833100.00 ns, 833.1000 us/op
WorkloadActual  28: 1 op, 794100.00 ns, 794.1000 us/op
WorkloadActual  29: 1 op, 807600.00 ns, 807.6000 us/op
WorkloadActual  30: 1 op, 815900.00 ns, 815.9000 us/op
WorkloadActual  31: 1 op, 809900.00 ns, 809.9000 us/op
WorkloadActual  32: 1 op, 883200.00 ns, 883.2000 us/op
WorkloadActual  33: 1 op, 870700.00 ns, 870.7000 us/op
WorkloadActual  34: 1 op, 800300.00 ns, 800.3000 us/op
WorkloadActual  35: 1 op, 806800.00 ns, 806.8000 us/op
WorkloadActual  36: 1 op, 810300.00 ns, 810.3000 us/op
WorkloadActual  37: 1 op, 814200.00 ns, 814.2000 us/op
WorkloadActual  38: 1 op, 906600.00 ns, 906.6000 us/op
WorkloadActual  39: 1 op, 835400.00 ns, 835.4000 us/op
WorkloadActual  40: 1 op, 899300.00 ns, 899.3000 us/op
WorkloadActual  41: 1 op, 797200.00 ns, 797.2000 us/op
WorkloadActual  42: 1 op, 793500.00 ns, 793.5000 us/op
WorkloadActual  43: 1 op, 846800.00 ns, 846.8000 us/op
WorkloadActual  44: 1 op, 885700.00 ns, 885.7000 us/op
WorkloadActual  45: 1 op, 812300.00 ns, 812.3000 us/op
WorkloadActual  46: 1 op, 862000.00 ns, 862.0000 us/op
WorkloadActual  47: 1 op, 788600.00 ns, 788.6000 us/op
WorkloadActual  48: 1 op, 795200.00 ns, 795.2000 us/op
WorkloadActual  49: 1 op, 929600.00 ns, 929.6000 us/op
WorkloadActual  50: 1 op, 814500.00 ns, 814.5000 us/op
WorkloadActual  51: 1 op, 795000.00 ns, 795.0000 us/op
WorkloadActual  52: 1 op, 823400.00 ns, 823.4000 us/op
WorkloadActual  53: 1 op, 795700.00 ns, 795.7000 us/op
WorkloadActual  54: 1 op, 818400.00 ns, 818.4000 us/op
WorkloadActual  55: 1 op, 904000.00 ns, 904.0000 us/op
WorkloadActual  56: 1 op, 819700.00 ns, 819.7000 us/op
WorkloadActual  57: 1 op, 797700.00 ns, 797.7000 us/op
WorkloadActual  58: 1 op, 839900.00 ns, 839.9000 us/op

// AfterActualRun
WorkloadResult   1: 1 op, 881000.00 ns, 881.0000 us/op
WorkloadResult   2: 1 op, 793200.00 ns, 793.2000 us/op
WorkloadResult   3: 1 op, 797000.00 ns, 797.0000 us/op
WorkloadResult   4: 1 op, 807600.00 ns, 807.6000 us/op
WorkloadResult   5: 1 op, 837800.00 ns, 837.8000 us/op
WorkloadResult   6: 1 op, 840600.00 ns, 840.6000 us/op
WorkloadResult   7: 1 op, 898500.00 ns, 898.5000 us/op
WorkloadResult   8: 1 op, 817200.00 ns, 817.2000 us/op
WorkloadResult   9: 1 op, 844600.00 ns, 844.6000 us/op
WorkloadResult  10: 1 op, 792600.00 ns, 792.6000 us/op
WorkloadResult  11: 1 op, 787200.00 ns, 787.2000 us/op
WorkloadResult  12: 1 op, 855600.00 ns, 855.6000 us/op
WorkloadResult  13: 1 op, 838300.00 ns, 838.3000 us/op
WorkloadResult  14: 1 op, 863000.00 ns, 863.0000 us/op
